src_ip,_time,c_timestamp,c_cggt,c_imsi,f_c_ossn_others,f_same_cggt_is_gmlc_oc,f_same_cggt_is_gmlc_ossn,f_same_cggt_is_hlr_oc,f_same_cggt_is_hlr_ossn,f_count_ok_cl_between2lu,f_count_ok_psi_between2lu,f_velocity_greater_than_1000,f_count_unloop_country_last_x_hours_ul,f_count_gap_ok_sai_and_all_lu,f_count_ok_dsd_between2lu,f_count_ok_fwsm_mo_between2lu,f_count_ok_fwsm_mt_between2lu,f_count_ok_fwsm_report_between2lu,f_count_ok_fwsm_submit_between2lu,f_count_ok_isd_between2lu,f_count_ok_prn_between2lu,f_count_ok_purge_ms_between2lu,f_count_ok_sai_between2lu,f_count_ok_si_between2lu,f_count_ok_sri_between2lu,f_count_ok_srism_between2lu,f_count_ok_ul_between2lu,f_count_ok_ulgprs_between2lu,f_count_ok_ussd_between2lu,f_frequent_ok_cl_between2lu,f_frequent_ok_psi_between2lu,f_frequent_ok_dsd_between2lu,f_frequent_ok_fwsm_mo_between2lu,f_frequent_ok_fwsm_mt_between2lu,f_frequent_ok_fwsm_report_between2lu,f_frequent_ok_fwsm_submit_between2lu,f_frequent_ok_isd_between2lu,f_frequent_ok_prn_between2lu,f_frequent_ok_purge_ms_between2lu,f_frequent_ok_sai_between2lu,f_frequent_ok_si_between2lu,f_frequent_ok_sri_between2lu,f_frequent_ok_srism_between2lu,f_frequent_ok_ul_between2lu,f_frequent_ok_ulgprs_between2lu,f_frequent_ok_ussd_between2lu,f_ratio_cl_psi,f_high_activity_5min,f_one_cggt_multi_cdgt_psi
172.16.128.154,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_5159,323213414777209,,0,0,0,0,3,0,1,,,4,3,1,3,3,5,0,5,4,3,3,4,4,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1.8,1,
172.16.128.51,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_2501,697128199929557,,0,0,0,0,5,0,0,,,4,1,2,2,3,1,1,3,3,1,5,4,4,4,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1.73,0,
172.16.128.154,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_3650,616366040396410,,0,0,1,0,2,4,0,,,1,4,3,0,5,3,1,3,2,5,0,3,2,5,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0.54,1,
172.16.128.51,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_6340,237293158303596,,0,0,0,0,2,3,1,,,2,4,3,0,1,5,2,1,2,2,2,1,5,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.7,0,
172.16.128.154,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_9702,802145646959764,,0,0,0,0,1,0,0,,,4,0,4,0,0,0,3,0,1,1,2,2,0,4,2,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.78,0,
172.16.128.51,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_1801,422374137514134,,0,1,0,0,0,5,0,,,0,1,2,3,1,0,5,2,0,0,0,5,3,5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.61,0,
172.16.128.154,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_4029,929914480607165,,0,0,0,0,0,0,0,,,4,5,0,3,5,0,5,4,5,4,4,4,0,2,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,2.34,1,
172.16.128.51,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_2867,799627355458796,,0,0,0,1,4,5,0,,,5,1,2,2,1,0,2,2,2,3,5,5,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.44,1,
172.16.128.154,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_6049,542049877595139,,0,1,0,0,0,3,0,,,5,1,5,2,5,1,5,2,1,1,1,4,2,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.36,0,
172.16.128.51,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_7917,119995682741457,,0,0,1,0,2,4,0,,,5,4,4,2,3,0,1,0,0,5,4,3,2,1,3,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0.19,0,
172.16.128.154,2025-05-22 17:55:30,2025-05-22 17:55:30,CGGT_9468,698721833662152,,0,0,1,1,3,3,0,,,3,1,2,0,1,1,5,1,5,1,3,3,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.01,1,
