src_ip,_time,c_timestamp,c_cggt,c_imsi,f_c_ossn_others,f_same_cggt_is_gmlc_oc,f_same_cggt_is_gmlc_ossn,f_same_cggt_is_hlr_oc,f_same_cggt_is_hlr_ossn,f_count_ok_cl_between2lu,f_count_ok_psi_between2lu,f_velocity_greater_than_1000,f_count_unloop_country_last_x_hours_ul,f_count_gap_ok_sai_and_all_lu,f_count_ok_dsd_between2lu,f_count_ok_fwsm_mo_between2lu,f_count_ok_fwsm_mt_between2lu,f_count_ok_fwsm_report_between2lu,f_count_ok_fwsm_submit_between2lu,f_count_ok_isd_between2lu,f_count_ok_prn_between2lu,f_count_ok_purge_ms_between2lu,f_count_ok_sai_between2lu,f_count_ok_si_between2lu,f_count_ok_sri_between2lu,f_count_ok_srism_between2lu,f_count_ok_ul_between2lu,f_count_ok_ulgprs_between2lu,f_count_ok_ussd_between2lu,f_frequent_ok_cl_between2lu,f_frequent_ok_psi_between2lu,f_frequent_ok_dsd_between2lu,f_frequent_ok_fwsm_mo_between2lu,f_frequent_ok_fwsm_mt_between2lu,f_frequent_ok_fwsm_report_between2lu,f_frequent_ok_fwsm_submit_between2lu,f_frequent_ok_isd_between2lu,f_frequent_ok_prn_between2lu,f_frequent_ok_purge_ms_between2lu,f_frequent_ok_sai_between2lu,f_frequent_ok_si_between2lu,f_frequent_ok_sri_between2lu,f_frequent_ok_srism_between2lu,f_frequent_ok_ul_between2lu,f_frequent_ok_ulgprs_between2lu,f_frequent_ok_ussd_between2lu,f_ratio_cl_psi,f_high_activity_5min,f_one_cggt_multi_cdgt_psi
172.16.128.154,2025-05-22 15:13:07,2025-05-22 15:13:07,CGGT_2169,465149589130876,,0,0,0,1,4,5,0,,,2,2,0,1,2,1,2,0,3,5,3,2,3,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.36,1,
172.16.128.51,2025-05-22 15:13:07,2025-05-22 15:13:07,CGGT_3602,584681805496470,,0,0,0,0,2,5,0,,,5,3,2,3,1,5,0,1,0,3,5,3,5,4,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.08,0,
172.16.128.154,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_8319,486939542111763,,1,0,0,0,3,3,0,,,3,4,5,1,4,2,2,4,5,1,5,5,5,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.51,0,
172.16.128.51,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_9005,629920697127389,,0,0,1,1,0,0,0,,,1,0,4,1,3,2,0,1,5,0,4,5,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.64,1,
172.16.128.154,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_6037,505999574423210,,0,0,0,0,0,5,0,,,2,4,2,5,2,3,0,0,2,4,0,2,3,3,4,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1.45,0,
172.16.128.51,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_6233,170099470575986,,0,0,0,0,4,5,0,,,0,5,0,1,0,4,3,2,1,0,5,3,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.23,0,
172.16.128.154,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_2406,581381642144079,,1,1,0,0,5,1,1,,,5,0,2,3,0,4,1,2,2,5,3,0,1,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1.37,0,
172.16.128.51,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_8827,437912285840756,,0,0,0,0,5,1,0,,,0,1,2,0,3,0,5,5,1,3,3,4,3,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.87,0,
172.16.128.154,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_7038,497960354810236,,1,0,0,0,4,0,1,,,0,1,1,2,2,0,2,4,2,3,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.2,1,
172.16.128.51,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_6878,560779028229905,,0,0,0,0,2,0,0,,,2,5,1,2,1,0,4,1,1,4,1,2,3,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,
172.16.128.154,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_2970,983247378335071,,0,0,0,1,3,1,0,,,0,5,4,1,3,1,0,3,0,1,2,0,1,4,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,
172.16.128.51,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_1586,958866093265468,,0,1,0,0,1,0,0,,,5,0,2,0,0,4,0,2,4,3,4,5,2,2,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0.64,0,
172.16.128.154,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_2897,723060850991065,,1,0,0,0,5,2,1,,,1,5,0,5,3,4,2,0,0,0,4,2,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1.08,0,
172.16.128.51,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_4450,348482468926469,,0,1,0,0,1,5,0,,,3,4,4,2,5,2,4,0,1,2,2,2,1,0,5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1.7,0,
172.16.128.154,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_7430,220185673347118,,0,0,0,0,0,1,1,,,4,2,4,5,1,1,3,1,4,4,0,2,5,3,5,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1.66,0,
172.16.128.51,2025-05-22 15:13:08,2025-05-22 15:13:08,CGGT_8631,587420816859477,,1,0,0,0,0,2,1,,,4,0,5,4,4,2,1,4,0,1,3,5,3,4,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2.22,0,
