src_ip,_time,c_timestamp,c_cggt,c_imsi,f_c_ossn_others,f_same_cggt_is_gmlc_oc,f_same_cggt_is_gmlc_ossn,f_same_cggt_is_hlr_oc,f_same_cggt_is_hlr_ossn,f_count_ok_cl_between2lu,f_count_ok_psi_between2lu,f_velocity_greater_than_1000,f_count_unloop_country_last_x_hours_ul,f_count_gap_ok_sai_and_all_lu,f_count_ok_dsd_between2lu,f_count_ok_fwsm_mo_between2lu,f_count_ok_fwsm_mt_between2lu,f_count_ok_fwsm_report_between2lu,f_count_ok_fwsm_submit_between2lu,f_count_ok_isd_between2lu,f_count_ok_prn_between2lu,f_count_ok_purge_ms_between2lu,f_count_ok_sai_between2lu,f_count_ok_si_between2lu,f_count_ok_sri_between2lu,f_count_ok_srism_between2lu,f_count_ok_ul_between2lu,f_count_ok_ulgprs_between2lu,f_count_ok_ussd_between2lu,f_frequent_ok_cl_between2lu,f_frequent_ok_psi_between2lu,f_frequent_ok_dsd_between2lu,f_frequent_ok_fwsm_mo_between2lu,f_frequent_ok_fwsm_mt_between2lu,f_frequent_ok_fwsm_report_between2lu,f_frequent_ok_fwsm_submit_between2lu,f_frequent_ok_isd_between2lu,f_frequent_ok_prn_between2lu,f_frequent_ok_purge_ms_between2lu,f_frequent_ok_sai_between2lu,f_frequent_ok_si_between2lu,f_frequent_ok_sri_between2lu,f_frequent_ok_srism_between2lu,f_frequent_ok_ul_between2lu,f_frequent_ok_ulgprs_between2lu,f_frequent_ok_ussd_between2lu,f_ratio_cl_psi,f_high_activity_5min,f_one_cggt_multi_cdgt_psi
172.16.128.154,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_9164,970700728195602,,0,0,0,0,5,1,1,,,1,4,3,3,5,5,2,0,5,0,5,3,1,3,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.43,0,
172.16.128.51,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_6078,504320834364207,,1,1,0,0,3,5,0,,,2,3,3,2,5,0,5,1,0,2,4,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.68,0,
172.16.128.154,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_9053,744647376603966,,0,0,0,0,1,2,0,,,2,3,1,4,3,3,4,2,5,0,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.56,0,
172.16.128.51,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_3332,150975927524055,,0,0,0,0,1,2,0,,,5,4,5,1,4,5,3,2,2,3,4,0,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2.35,1,
172.16.128.154,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_7733,139565717671233,,0,0,0,1,3,2,0,,,4,0,1,3,1,4,4,2,4,4,2,1,1,0,4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.86,0,
172.16.128.51,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_2889,739096416546595,,0,0,0,0,3,2,1,,,1,2,5,3,1,1,0,4,4,0,1,2,0,5,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.38,0,
172.16.128.154,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_1179,758689835847712,,0,0,0,0,2,1,0,,,3,0,4,1,4,0,5,5,3,5,5,4,4,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.41,0,
172.16.128.51,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_7285,778074405753004,,0,0,0,0,5,2,0,,,1,1,3,5,5,3,2,5,1,0,3,5,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1.87,0,
172.16.128.154,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_9675,493176909708816,,0,1,0,1,5,3,1,,,5,0,0,3,5,1,5,5,5,2,0,4,2,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.5,1,
172.16.128.51,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_6983,791039593079670,,0,1,0,0,4,4,0,,,3,2,4,0,1,5,5,3,0,4,2,3,3,4,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1.61,1,
172.16.128.154,2025-05-22 17:19:40,2025-05-22 17:19:40,CGGT_2210,112301943066446,,0,0,0,0,4,4,0,,,2,5,5,5,4,2,1,2,0,0,5,3,5,4,4,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.15,0,
