src_ip,_time,c_timestamp,c_cggt,c_imsi,f_c_ossn_others,f_same_cggt_is_gmlc_oc,f_same_cggt_is_gmlc_ossn,f_same_cggt_is_hlr_oc,f_same_cggt_is_hlr_ossn,f_count_ok_cl_between2lu,f_count_ok_psi_between2lu,f_velocity_greater_than_1000,f_count_unloop_country_last_x_hours_ul,f_count_gap_ok_sai_and_all_lu,f_count_ok_dsd_between2lu,f_count_ok_fwsm_mo_between2lu,f_count_ok_fwsm_mt_between2lu,f_count_ok_fwsm_report_between2lu,f_count_ok_fwsm_submit_between2lu,f_count_ok_isd_between2lu,f_count_ok_prn_between2lu,f_count_ok_purge_ms_between2lu,f_count_ok_sai_between2lu,f_count_ok_si_between2lu,f_count_ok_sri_between2lu,f_count_ok_srism_between2lu,f_count_ok_ul_between2lu,f_count_ok_ulgprs_between2lu,f_count_ok_ussd_between2lu,f_frequent_ok_cl_between2lu,f_frequent_ok_psi_between2lu,f_frequent_ok_dsd_between2lu,f_frequent_ok_fwsm_mo_between2lu,f_frequent_ok_fwsm_mt_between2lu,f_frequent_ok_fwsm_report_between2lu,f_frequent_ok_fwsm_submit_between2lu,f_frequent_ok_isd_between2lu,f_frequent_ok_prn_between2lu,f_frequent_ok_purge_ms_between2lu,f_frequent_ok_sai_between2lu,f_frequent_ok_si_between2lu,f_frequent_ok_sri_between2lu,f_frequent_ok_srism_between2lu,f_frequent_ok_ul_between2lu,f_frequent_ok_ulgprs_between2lu,f_frequent_ok_ussd_between2lu,f_ratio_cl_psi,f_high_activity_5min,f_one_cggt_multi_cdgt_psi
172.16.128.51,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_9270,969208925583953,,0,0,0,0,2,5,1,,,2,0,2,1,0,3,3,5,5,5,4,5,1,5,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.64,1,
172.16.128.154,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_4904,669312722080569,,0,0,0,0,3,2,0,,,0,1,3,3,1,3,1,5,4,1,2,4,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.43,1,
172.16.128.51,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_2276,453461520389817,,0,0,1,0,2,4,0,,,3,3,1,4,1,1,5,4,3,4,2,5,0,2,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.31,0,
172.16.128.154,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_1707,686388250486870,,0,0,0,0,4,3,0,,,1,3,2,0,5,3,2,1,0,2,3,5,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.62,0,
172.16.128.51,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_7695,657022211236743,,1,1,1,0,1,1,0,,,4,5,2,5,1,3,2,2,0,5,2,3,0,3,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.97,0,
172.16.128.154,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_4133,855306682068346,,0,0,0,0,2,2,1,,,3,2,1,0,0,5,2,3,5,0,1,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.56,1,
172.16.128.51,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_7923,321532621493343,,0,0,1,0,4,3,1,,,3,1,3,5,5,4,5,3,1,3,2,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2.06,1,
172.16.128.154,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_2599,206487292947102,,0,1,1,0,4,1,0,,,4,0,5,2,4,1,3,3,0,2,0,3,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.32,0,
172.16.128.51,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_2064,202720196291455,,1,0,0,0,1,3,0,,,0,3,4,2,2,0,1,2,5,3,5,1,5,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.08,0,
172.16.128.154,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_3891,794621373325893,,0,0,1,0,1,5,0,,,3,2,4,4,1,5,5,5,3,1,5,3,3,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2.13,1,
172.16.128.51,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_2929,846227852983723,,0,0,0,1,4,1,0,,,0,1,4,5,3,4,4,2,3,3,1,2,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11,1,
172.16.128.154,2025-05-22 18:07:05,2025-05-22 18:07:05,CGGT_2069,567316422559990,,0,1,0,0,1,0,1,,,5,3,1,5,2,1,0,2,3,1,5,4,5,4,5,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0.66,0,
